epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1042.82,0.6971,0.4936,1.01106,0.83298,0.74518,0.77241,0.57854,0.89762,0.68648,1.03713,0.00103987,0.00103987,0.00103987
78,1056.2,0.70546,0.50415,1.01804,0.80707,0.75542,0.76741,0.57653,0.8962,0.64911,1.0275,0.00103162,0.00103162,0.00103162
79,1069.7,0.72891,0.57673,1.04397,0.82788,0.74328,0.77916,0.58123,0.89723,0.63744,1.03393,0.00102337,0.00102337,0.00102337
80,1083.2,0.69695,0.50199,1.01169,0.86778,0.72557,0.77613,0.56953,0.90816,0.64784,1.04702,0.00101512,0.00101512,0.00101512
81,1096.56,0.68278,0.49528,1.002,0.84937,0.74236,0.77003,0.56829,0.92722,0.64431,1.05898,0.00100687,0.00100687,0.00100687
82,1109.95,0.69627,0.48719,1.01303,0.85983,0.73045,0.76827,0.57609,0.92297,0.67366,1.05931,0.000998616,0.000998616,0.000998616
83,1123.39,0.6797,0.47558,0.99383,0.82903,0.75284,0.7776,0.59147,0.88996,0.64335,1.03196,0.000990365,0.000990365,0.000990365
84,1136.78,0.68997,0.48357,0.99667,0.83486,0.73813,0.77827,0.58237,0.88626,0.65739,1.02337,0.000982113,0.000982113,0.000982113
85,1150.18,0.71547,0.48983,1.04192,0.85779,0.75075,0.79282,0.58321,0.89328,0.65094,1.02868,0.000973861,0.000973861,0.000973861
86,1163.55,0.69962,0.48503,1.01164,0.86489,0.75244,0.78357,0.58897,0.88766,0.63006,1.02264,0.00096561,0.00096561,0.00096561
87,1176.94,0.65867,0.46121,0.9947,0.86924,0.76946,0.80606,0.59831,0.8928,0.6355,1.03506,0.000957358,0.000957358,0.000957358
88,1190.29,0.67078,0.47473,0.99415,0.85329,0.7599,0.78678,0.59613,0.88553,0.6235,1.03935,0.000949106,0.000949106,0.000949106
89,1203.56,0.66955,0.45864,0.99768,0.84104,0.75874,0.78286,0.58737,0.90959,0.63956,1.04323,0.000940855,0.000940855,0.000940855
90,1216.89,0.65931,0.46975,0.99236,0.80291,0.77463,0.7829,0.59463,0.88904,0.61777,1.02476,0.000932603,0.000932603,0.000932603
91,1230.1,0.6648,0.4542,0.99998,0.858,0.75115,0.78155,0.58069,0.92359,0.6562,1.04924,0.000924352,0.000924352,0.000924352
92,1243.27,0.66171,0.46185,0.99295,0.82169,0.76587,0.77514,0.57045,0.91452,0.6654,1.05495,0.0009161,0.0009161,0.0009161
93,1256.6,0.66377,0.46403,0.99858,0.84993,0.76139,0.78105,0.58028,0.89988,0.62935,1.04664,0.000907848,0.000907848,0.000907848
94,1269.95,0.74559,0.49409,1.13406,0.82757,0.76319,0.7865,0.58959,0.8835,0.63992,1.03273,0.000899597,0.000899597,0.000899597
95,1283.26,0.66841,0.49721,1.03054,0.823,0.76886,0.77985,0.57044,0.91544,0.65885,1.06081,0.000891345,0.000891345,0.000891345
96,1296.6,0.6779,0.47361,0.9957,0.86867,0.76269,0.79815,0.59382,0.87145,0.60226,1.0257,0.000883093,0.000883093,0.000883093
