epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1239.74,0.68048,0.48536,1.00473,0.8321,0.75373,0.78366,0.58336,0.88148,0.6036,1.03912,0.0069805,0.0069805,0.0069805
63,1259.95,0.68446,0.48746,1.00702,0.83739,0.74836,0.7795,0.58156,0.87078,0.59873,1.02838,0.006931,0.006931,0.006931
64,1280.23,0.68159,0.48206,1.00549,0.8637,0.74647,0.7853,0.58879,0.85616,0.61157,1.02365,0.0068815,0.0068815,0.0068815
65,1300.27,0.6687,0.47046,0.9977,0.8438,0.77333,0.79398,0.58845,0.86958,0.59657,1.03182,0.006832,0.006832,0.006832
66,1320.24,0.67089,0.4744,1.0012,0.85987,0.74393,0.7827,0.58205,0.86563,0.59692,1.02951,0.0067825,0.0067825,0.0067825
67,1340.24,0.67135,0.47059,1.00438,0.83899,0.77438,0.79523,0.59849,0.84168,0.57671,1.01498,0.006733,0.006733,0.006733
68,1360.16,0.66616,0.47342,1.00572,0.85449,0.77265,0.80985,0.59519,0.87698,0.58307,1.03095,0.0066835,0.0066835,0.0066835
69,1380.05,0.66334,0.47054,0.99859,0.87955,0.73981,0.77602,0.58931,0.85909,0.60233,1.01661,0.006634,0.006634,0.006634
70,1399.93,0.66517,0.4742,0.9999,0.84848,0.76655,0.8025,0.5975,0.86726,0.59186,1.02262,0.0065845,0.0065845,0.0065845
71,1419.79,0.66261,0.46169,0.99929,0.83312,0.75835,0.78533,0.59426,0.86521,0.59454,1.02311,0.006535,0.006535,0.006535
72,1439.61,0.66743,0.4744,1.00488,0.90588,0.74224,0.79638,0.58635,0.86781,0.59219,1.03515,0.0064855,0.0064855,0.0064855
73,1459.57,0.66287,0.46503,1.001,0.8366,0.77313,0.79546,0.59366,0.86048,0.59241,1.03295,0.006436,0.006436,0.006436
74,1479.64,0.6568,0.45979,0.99544,0.83573,0.76562,0.78905,0.59576,0.84756,0.58815,1.01208,0.0063865,0.0063865,0.0063865
75,1499.91,0.64876,0.45008,0.9927,0.85907,0.76541,0.7959,0.58644,0.88961,0.57342,1.04904,0.006337,0.006337,0.006337
76,1520.14,0.65284,0.45908,0.99346,0.84392,0.77164,0.8033,0.58008,0.86437,0.58876,1.02093,0.0062875,0.0062875,0.0062875
77,1540.25,0.65138,0.44932,0.99566,0.88653,0.75667,0.79951,0.5996,0.84847,0.58368,1.01716,0.006238,0.006238,0.006238
78,1560.14,0.6475,0.4503,0.99433,0.8679,0.77103,0.8041,0.60248,0.84653,0.59185,1.00657,0.0061885,0.0061885,0.0061885
79,1580.2,0.63832,0.44321,0.99096,0.88981,0.73856,0.79373,0.59424,0.85695,0.58434,1.02054,0.006139,0.006139,0.006139
80,1600.12,0.63797,0.4458,0.99186,0.86349,0.75752,0.79181,0.59264,0.86311,0.58721,1.00846,0.0060895,0.0060895,0.0060895
